ID,Lat,Long,_Declivmean,_IPTmean,_IRTmean,_Rugosmean,_Sombrmean
"233",7671035.362,407898.852,546313.78035237,0.606985512507425,4.38762623433051,4.19017886608145,41.9281763579962
"234",7671035.362,407908.816,595697.012191107,0.530748998409335,4.71634730653895,5,1
"235",7671035.362,407918.779,596137.087565839,0.53144594933534,4.71693506377186,5,1
"236",7671035.362,407928.742,626593.727836833,0.457227223824642,5.05176171485257,4.82037793633298,1
"237",7671035.362,407938.706,639839.76403845,0.415253649972279,5.1961522102356,4.73728779998416,1
"238",7671035.362,407948.669,640116.413752904,0.405516540380706,5.1961522102356,4.7317237373604,1
"239",7671035.362,407958.632,474331.519619531,0.0962598347238357,3.53751197760089,3.34234079628261,1
"240",7671035.362,407968.596,433359.928144471,0.0202184043086834,3.12967813675282,3,1
"241",7671035.362,407978.559,433488.7433728,0.0181265716680637,3.13226699749162,3,1
"242",7671035.362,407988.522,443011.250425101,0.275085309026586,3.2163436820934,3,1
"243",7671035.362,407998.486,443685.244460386,0.300969071552561,3.22286474454146,3,1
"244",7671025.421,407739.439,254558.4375,0.5,2.44948983192444,2,1
"245",7671025.421,407749.402,267176.306341869,0.481697215310184,2.50167384333146,2.07321113875927,1
"246",7671025.421,407759.365,426907.46875,0.25,3.16227769851685,3,1
"247",7671025.421,407769.329,426907.46875,0.25,3.16227769851685,3,1
"248",7671025.421,407779.292,442114.265441739,0.0514697146704156,3.4129196424727,3.17647136473741,1
"249",7671025.421,407789.255,513078.9375,-0.875,4.58257579803467,4,1
"250",7671025.421,407799.219,513078.9375,-0.875,4.58257579803467,4,1
"251",7671025.421,407809.182,513078.9375,-0.630224077618639,4.34733402300539,4,25.8972081050756
"252",7671025.421,407819.145,513078.9375,0,3.74165749549866,4,90
"253",7671025.421,407829.109,513078.9375,0,3.74165749549866,4,90
"254",7671025.421,407839.072,506936.497577289,0.0957500874535506,3.63535347241459,3.6169996501858,108.767017140896
"255",7671025.421,407849.035,497041.25,0.25,3.46410155296326,3,139
"256",7671025.421,407858.999,497041.25,0.25,3.46410155296326,3,139
"257",7671025.421,407868.962,451064.4593473,0.432353028532958,3.53288496451513,3,99.611745836881
"258",7671025.421,407878.925,402492.25,0.625,3.60555124282837,3,58
"259",7671025.421,407888.889,402492.25,0.625,3.60555124282837,3,58
"260",7671025.421,407898.852,551478.371385528,0.625,4.30726433363337,4.17907187031794,24.3964516959389
"261",7671025.421,407908.816,655209.875,0.625,4.79583168029785,5,1
"262",7671025.421,407918.779,655209.875,0.625,4.79583168029785,5,1
"263",7671025.421,407928.742,669958.443350313,-0.414195691345069,5.07317259354337,4.30720287243662,1
"264",7671025.421,407938.706,676498.3125,-0.875,5.1961522102356,4,1
"265",7671025.421,407948.669,676498.3125,-0.875,5.1961522102356,4,1
"266",7671025.421,407958.632,496190.371083076,-0.377457823452537,3.81732300398001,3.20393251752406,1
